=== Invocation 2026-04-24T01:52:30Z | seed=1 | keep_state=1 | pid=394109 | host=nah-popos ===
=== [Stage 1 (profile)] examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/profile/time_and_err.log ===
[Stage 1 (profile)] === 2026-04-24T01:52:30Z | pid=394109 | host=nah-popos | EXECUTED ===
[Stage 1 (profile)] 	Command being timed: "python /home/vltanh/Documents/network-generation/externals/ec-sbm/src/profile.py --edgelist examples/input/empirical_networks/networks/dnc/dnc.csv --clustering examples/input/reference_clusterings/clusterings/sbm-flat-best+cc/dnc/com.csv --output-folder examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/profile --params-file examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/profile/params.txt"
[Stage 1 (profile)] 	User time (seconds): 0.17
[Stage 1 (profile)] 	System time (seconds): 0.03
[Stage 1 (profile)] 	Percent of CPU this job got: 99%
[Stage 1 (profile)] 	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.21
[Stage 1 (profile)] 	Average shared text size (kbytes): 0
[Stage 1 (profile)] 	Average unshared data size (kbytes): 0
[Stage 1 (profile)] 	Average stack size (kbytes): 0
[Stage 1 (profile)] 	Average total size (kbytes): 0
[Stage 1 (profile)] 	Maximum resident set size (kbytes): 88660
[Stage 1 (profile)] 	Average resident set size (kbytes): 0
[Stage 1 (profile)] 	Major (requiring I/O) page faults: 0
[Stage 1 (profile)] 	Minor (reclaiming a frame) page faults: 14263
[Stage 1 (profile)] 	Voluntary context switches: 22
[Stage 1 (profile)] 	Involuntary context switches: 50
[Stage 1 (profile)] 	Swaps: 0
[Stage 1 (profile)] 	File system inputs: 0
[Stage 1 (profile)] 	File system outputs: 72
[Stage 1 (profile)] 	Socket messages sent: 0
[Stage 1 (profile)] 	Socket messages received: 0
[Stage 1 (profile)] 	Signals delivered: 0
[Stage 1 (profile)] 	Page size (bytes): 4096
[Stage 1 (profile)] 	Exit status: 0
[Stage 1 (profile)] === exit=0 ===

=== [Stage 1 (profile)] examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/profile/run.log ===
[Stage 1 (profile)] 2026-04-23 20:52:30,201 - INFO - Input reading elapsed: 0.0090 seconds
[Stage 1 (profile)] 2026-04-23 20:52:30,203 - INFO - Outlier transform elapsed: 0.0010 seconds
[Stage 1 (profile)] 2026-04-23 20:52:30,203 - INFO - Mappings computation elapsed: 0.0002 seconds
[Stage 1 (profile)] 2026-04-23 20:52:30,213 - INFO - Outputs export elapsed: 0.0104 seconds

=== [Stage 2 (gen_clustered)] examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/gen_clustered/time_and_err.log ===
[Stage 2 (gen_clustered)] === 2026-04-24T01:52:30Z | pid=394109 | host=nah-popos | EXECUTED ===
[Stage 2 (gen_clustered)] 	Command being timed: "python /home/vltanh/Documents/network-generation/externals/ec-sbm/src/gen_clustered.py --node-id examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/profile/node_id.csv --cluster-id examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/profile/cluster_id.csv --assignment examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/profile/assignment.csv --degree examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/profile/degree.csv --mincut examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/profile/mincut.csv --edge-counts examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/profile/edge_counts.csv --output-folder examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/gen_clustered --seed 1 --sbm-overlay"
[Stage 2 (gen_clustered)] 	User time (seconds): 0.97
[Stage 2 (gen_clustered)] 	System time (seconds): 0.08
[Stage 2 (gen_clustered)] 	Percent of CPU this job got: 99%
[Stage 2 (gen_clustered)] 	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:01.06
[Stage 2 (gen_clustered)] 	Average shared text size (kbytes): 0
[Stage 2 (gen_clustered)] 	Average unshared data size (kbytes): 0
[Stage 2 (gen_clustered)] 	Average stack size (kbytes): 0
[Stage 2 (gen_clustered)] 	Average total size (kbytes): 0
[Stage 2 (gen_clustered)] 	Maximum resident set size (kbytes): 259976
[Stage 2 (gen_clustered)] 	Average resident set size (kbytes): 0
[Stage 2 (gen_clustered)] 	Major (requiring I/O) page faults: 0
[Stage 2 (gen_clustered)] 	Minor (reclaiming a frame) page faults: 38160
[Stage 2 (gen_clustered)] 	Voluntary context switches: 222
[Stage 2 (gen_clustered)] 	Involuntary context switches: 75
[Stage 2 (gen_clustered)] 	Swaps: 0
[Stage 2 (gen_clustered)] 	File system inputs: 0
[Stage 2 (gen_clustered)] 	File system outputs: 136
[Stage 2 (gen_clustered)] 	Socket messages sent: 0
[Stage 2 (gen_clustered)] 	Socket messages received: 0
[Stage 2 (gen_clustered)] 	Signals delivered: 0
[Stage 2 (gen_clustered)] 	Page size (bytes): 4096
[Stage 2 (gen_clustered)] 	Exit status: 0
[Stage 2 (gen_clustered)] === exit=0 ===

=== [Stage 2 (gen_clustered)] examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/gen_clustered/run.log ===
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,073 - INFO - Starting EC-SBM clustered generation (sbm_overlay=True)...
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,122 - INFO - Input loading elapsed: 0.0483 seconds
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,122 - INFO - Generating cluster 19 (N=6 | k=5)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,172 - INFO - Generating cluster 75 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,172 - INFO - Generating cluster 62 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,172 - INFO - Generating cluster 42 (N=3 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,172 - INFO - Generating cluster 65 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,173 - INFO - Generating cluster 32 (N=3 | k=2)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,173 - INFO - Generating cluster 50 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,173 - INFO - Generating cluster 72 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,173 - INFO - Generating cluster 74 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,173 - INFO - Generating cluster 47 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,173 - INFO - Generating cluster 31 (N=3 | k=2)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,173 - INFO - Generating cluster 80 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,173 - INFO - Generating cluster 46 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,173 - INFO - Generating cluster 51 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,173 - INFO - Generating cluster 86 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,173 - INFO - Generating cluster 53 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,173 - INFO - Generating cluster 49 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,173 - INFO - Generating cluster 55 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,173 - INFO - Generating cluster 56 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,173 - INFO - Generating cluster 57 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,173 - INFO - Generating cluster 67 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,173 - INFO - Generating cluster 85 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,173 - INFO - Generating cluster 84 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,173 - INFO - Generating cluster 61 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,173 - INFO - Generating cluster 63 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,173 - INFO - Generating cluster 70 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,173 - INFO - Generating cluster 64 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,174 - INFO - Generating cluster 82 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,174 - INFO - Generating cluster 78 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,174 - INFO - Generating cluster 83 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,174 - INFO - Generating cluster 66 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,174 - INFO - Generating cluster 69 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,174 - INFO - Generating cluster 76 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,174 - INFO - Generating cluster 73 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,174 - INFO - Generating cluster 77 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,174 - INFO - Generating cluster 81 (N=2 | k=1)
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,174 - INFO - Generation of k-edge-connected cores elapsed: 0.0521 seconds
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,176 - INFO - SBM overlay synthesis elapsed: 0.0025 seconds
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,183 - INFO - Export elapsed: 0.0067 seconds
[Stage 2 (gen_clustered)] 2026-04-23 20:52:31,183 - INFO - Clustered generation complete.

=== [Stage 3a (gen_outlier)] examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/gen_outlier/edges/time_and_err.log ===
[Stage 3a (gen_outlier)] === 2026-04-24T01:52:31Z | pid=394109 | host=nah-popos | EXECUTED ===
[Stage 3a (gen_outlier)] 	Command being timed: "python /home/vltanh/Documents/network-generation/externals/ec-sbm/src/gen_outlier.py --orig-edgelist examples/input/empirical_networks/networks/dnc/dnc.csv --orig-clustering examples/input/reference_clusterings/clusterings/sbm-flat-best+cc/dnc/com.csv --scope outlier-incident --outlier-mode singleton --edge-correction none --output-folder examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/gen_outlier/edges --seed 2"
[Stage 3a (gen_outlier)] 	User time (seconds): 0.91
[Stage 3a (gen_outlier)] 	System time (seconds): 0.07
[Stage 3a (gen_outlier)] 	Percent of CPU this job got: 99%
[Stage 3a (gen_outlier)] 	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.99
[Stage 3a (gen_outlier)] 	Average shared text size (kbytes): 0
[Stage 3a (gen_outlier)] 	Average unshared data size (kbytes): 0
[Stage 3a (gen_outlier)] 	Average stack size (kbytes): 0
[Stage 3a (gen_outlier)] 	Average total size (kbytes): 0
[Stage 3a (gen_outlier)] 	Maximum resident set size (kbytes): 259952
[Stage 3a (gen_outlier)] 	Average resident set size (kbytes): 0
[Stage 3a (gen_outlier)] 	Major (requiring I/O) page faults: 0
[Stage 3a (gen_outlier)] 	Minor (reclaiming a frame) page faults: 37586
[Stage 3a (gen_outlier)] 	Voluntary context switches: 222
[Stage 3a (gen_outlier)] 	Involuntary context switches: 76
[Stage 3a (gen_outlier)] 	Swaps: 0
[Stage 3a (gen_outlier)] 	File system inputs: 0
[Stage 3a (gen_outlier)] 	File system outputs: 32
[Stage 3a (gen_outlier)] 	Socket messages sent: 0
[Stage 3a (gen_outlier)] 	Socket messages received: 0
[Stage 3a (gen_outlier)] 	Signals delivered: 0
[Stage 3a (gen_outlier)] 	Page size (bytes): 4096
[Stage 3a (gen_outlier)] 	Exit status: 0
[Stage 3a (gen_outlier)] === exit=0 ===

=== [Stage 3a (gen_outlier)] examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/gen_outlier/edges/run.log ===
[Stage 3a (gen_outlier)] 2026-04-23 20:52:32,154 - INFO - Starting EC-SBM outlier generation (scope=outlier-incident, outlier_mode=singleton, edge_correction=none)...
[Stage 3a (gen_outlier)] 2026-04-23 20:52:32,204 - INFO - Setup elapsed: 0.0497 seconds
[Stage 3a (gen_outlier)] 2026-04-23 20:52:32,205 - INFO - SBM synthesis elapsed: 0.0016 seconds
[Stage 3a (gen_outlier)] 2026-04-23 20:52:32,207 - INFO - Export elapsed: 0.0014 seconds
[Stage 3a (gen_outlier)] 2026-04-23 20:52:32,207 - INFO - Outlier generation complete.

=== [Stage 3b (gen_outlier/combine)] examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/gen_outlier/time_and_err.log ===
[Stage 3b (gen_outlier/combine)] === 2026-04-24T01:52:32Z | pid=394109 | host=nah-popos | EXECUTED ===
[Stage 3b (gen_outlier/combine)] 	Command being timed: "python /home/vltanh/Documents/network-generation/src/combine_edgelists.py --edgelist-1 examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/gen_clustered/edge.csv --name-1 clustered --edgelist-2 examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/gen_outlier/edges/edge_outlier.csv --name-2 outlier --output-folder examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/gen_outlier --output-filename edge.csv"
[Stage 3b (gen_outlier/combine)] 	User time (seconds): 0.18
[Stage 3b (gen_outlier/combine)] 	System time (seconds): 0.02
[Stage 3b (gen_outlier/combine)] 	Percent of CPU this job got: 98%
[Stage 3b (gen_outlier/combine)] 	Elapsed (wall clock) time (h:mm:ss or m:ss): 0:00.20
[Stage 3b (gen_outlier/combine)] 	Average shared text size (kbytes): 0
[Stage 3b (gen_outlier/combine)] 	Average unshared data size (kbytes): 0
[Stage 3b (gen_outlier/combine)] 	Average stack size (kbytes): 0
[Stage 3b (gen_outlier/combine)] 	Average total size (kbytes): 0
[Stage 3b (gen_outlier/combine)] 	Maximum resident set size (kbytes): 86128
[Stage 3b (gen_outlier/combine)] 	Average resident set size (kbytes): 0
[Stage 3b (gen_outlier/combine)] 	Major (requiring I/O) page faults: 0
[Stage 3b (gen_outlier/combine)] 	Minor (reclaiming a frame) page faults: 13649
[Stage 3b (gen_outlier/combine)] 	Voluntary context switches: 22
[Stage 3b (gen_outlier/combine)] 	Involuntary context switches: 55
[Stage 3b (gen_outlier/combine)] 	Swaps: 0
[Stage 3b (gen_outlier/combine)] 	File system inputs: 0
[Stage 3b (gen_outlier/combine)] 	File system outputs: 144
[Stage 3b (gen_outlier/combine)] 	Socket messages sent: 0
[Stage 3b (gen_outlier/combine)] 	Socket messages received: 0
[Stage 3b (gen_outlier/combine)] 	Signals delivered: 0
[Stage 3b (gen_outlier/combine)] 	Page size (bytes): 4096
[Stage 3b (gen_outlier/combine)] 	Exit status: 0
[Stage 3b (gen_outlier/combine)] === exit=0 ===

=== [Stage 3b (gen_outlier/combine)] examples/output/synthetic_networks/networks/ec-sbm-v1/sbm-flat-best+cc/dnc/0/.state/gen_outlier/run.log ===
[Stage 3b (gen_outlier/combine)] 2026-04-23 20:52:32,507 - INFO - --- Starting Edgelist Combination & Provenance Tracking ---
[Stage 3b (gen_outlier/combine)] 2026-04-23 20:52:32,511 - INFO - Loaded 8302 total edges prior to deduplication.
